file	panels	row_unit	description	upstream_source	rows	columns	dropped_local_path_columns	sha256
source_data/supplementary/S01_sample_qc.tsv	S1,S16	GEO sample	Sample-level single-cell quality-control metrics.	analysis/02_scrna_qc/PDAC_scRNA_sample_QC.tsv	66	9	matrix_path	88875dd77ac478f05226204bf3fccf4811a23487ec9ef2a279657724fed22c89
source_data/supplementary/S01_patient_lineage_composition.tsv	S1,S15,S17	patient-lineage summary	Annotated discovery-cohort lineage composition.	analysis/03_scrna_annotation/PDAC_scRNA_patient_lineage_summary.tsv	50	32	none	f2410bff4cad27198f816d0b0b203758cd231db9c9b0936b462ac8c1a0a72b92
source_data/supplementary/S02_secact_evidence.tsv	S2,S22,S29	candidate evidence row	Spatial SecAct inference summary.	analysis/09_spatial_validation/SecAct/final_evidence_matrix.tsv	26	10	source_file	62637f69197b2f154a590aa314bcf16e347ffbf12910b1499576fea2e0cfcc08
source_data/supplementary/S02_cellchat_endothelial_consensus.tsv	S2,S22,S29	inferred cell-cell edge	CellChat endothelial consensus; computational inference.	analysis/10_communication_pseudotime/CellChat_endothelial_consensus.tsv	2571	10	none	29d0a3d295e5970bd35b32567983a958f3b58532d450d98db9a5bcc157461f76
source_data/supplementary/S03_S09_GSE21501_survival.tsv	S3,S9	survival model	External survival sensitivity estimates.	analysis/08_program_validation/GSE21501/GSE21501_EPAS1_external_survival.tsv	2	7	none	ffa84c7fb34c745735f1d3d0a19614cef39290a76a3baccef7c0b3724f16931e
source_data/supplementary/S04_cptac_protein_detection.tsv	S4	protein target	CPTAC protein-detection summary.	analysis/11_methodology_review/CPTAC_PAAD/CPTAC_protein_detection_summary.tsv	6	6	none	0b0ccc624ce1c7ecadb91ceace9e3feb008090634fbfd78800bf40d7308a378b
source_data/supplementary/S04_cptac_protein_survival.tsv	S4	survival model	CPTAC survival sensitivity estimates.	analysis/11_methodology_review/CPTAC_PAAD/CPTAC_protein_survival_cox.tsv	6	7	none	c0e14bf54840bd7742877fdb455437409b665030642d016c11c617c9a6a6b762
source_data/supplementary/S05_depmap_prism_association.tsv	S5	gene-drug association	DepMap/PRISM prioritization boundary analysis.	analysis/11_methodology_review/DepMap_PRISM_pharmacology/DepMap_CRISPR_PRISM_association_results.tsv	8	6	none	31f6f1f3aa8ab7666444f7b37420abc554d5736b7d0a1ec4e2d2023018d73103
source_data/supplementary/S05_drug_ml_cv_summary.tsv	S5	model summary	Repeated cross-validation summary for drug ML.	analysis/14_prediction/DepMap_PRISM_drug_ML/drug_ml_repeated_CV_summary.tsv	2	12	none	b302c12dbc45c367f93e5f7b9eb99475ab19f0fa117668a5f59101c951b1c7b1
source_data/supplementary/S06_survival_ml_performance.tsv	S6	model summary	TCGA/CPTAC survival-model performance summary.	analysis/14_prediction/epas1_survival_ml/survival_model_performance.tsv	4	3	none	0e00886b7eae26198f3e6619debf8d8e466627ac5396a24459040ea9ee1e1fcb
source_data/supplementary/S07_S24_docking_summary.tsv	S7,S24	structure-compound summary	Five-conformer docking and redocking quality-control summary.	analysis/13_virtual_perturbation/docking/EPAS1_multiconformer/final_exhaustiveness16/final_exhaustiveness16_summary.tsv	10	11	pose_file;log_file	eaf624290d047d03553199506b24f37021771dd1286143fbf882c8dc1bdf86d5
