evidence_layer	target	cohort_or_dataset	direction	patient_level_consistency	permutation_or_FDR	CellChat_support	spatial_ecology_support	evidence_grade	interpretation
SecAct spatial permutation	SPARCL1	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	VWF	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	MMRN2	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	IGFBP7	GSE282302	positive	13/14	exact sign p=0.00183; BH q=0.00366; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	C	directional sensitivity signal; not retained in the core spatial panel
SecAct spatial permutation	ANGPT2	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	ANGPT2 only	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	IL33	GSE282302	positive	14/14	exact sign p=0.000122; BH q=0.000293; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	SPARCL1	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	VWF	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	MMRN2	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	IGFBP7	GSE297144	positive	5/8	exact sign p=0.727; BH q=0.727; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	C	directional sensitivity signal; not retained in the core spatial panel
SecAct spatial permutation	ANGPT2	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	ANGPT2 only	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
SecAct spatial permutation	IL33	GSE297144	positive	8/8	exact sign p=0.00781; BH q=0.00852; 1000 coordinate-preserving permutations/ROI	none detected	EPAS1-linked context (not target-specific)	A	cross-cohort patient-level spatial signal
CellChat	ANGPT2	GSE282302	endothelial source -> immune receivers	3 receiver classes; 5 total edges	permutation p not applicable	ITGA5_ITGB1: myeloid, CD8, B cell	supports myeloid/T/NK neighborhood context	B	candidate-specific communication support; association, not causal signaling
